!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000  17.16  16.24  12.71  11.01   9.87  
 0.015  2514.   -2.21  3.38  0.413    1.000  15.80  15.11  11.65  10.13   9.12  
 0.020  2594.   -2.05  3.40  0.466    1.000  15.00  14.38  11.03   9.61   8.68  
 0.030  2668.   -1.79  3.36  0.599    1.000  14.02  13.42  10.19   8.86   7.99  
 0.040  2733.   -1.66  3.40  0.661    1.000  13.43  12.80   9.73   8.46   7.65  
 0.050  2762.   -1.48  3.34  0.791    1.000  12.91  12.30   9.26   8.01   7.21  
 0.060  2808.   -1.40  3.37  0.841    1.000  12.55  11.92   8.97   7.76   7.00  
 0.070  2835.   -1.33  3.37  0.900    1.000  12.31  11.69   8.76   7.57   6.81  
 0.072  2832.   -1.29  3.35  0.937    1.000  12.24  11.63   8.69   7.49   6.73  
 0.075  2836.   -1.27  3.34  0.966    1.000  12.17  11.56   8.62   7.42   6.66  
 0.080  2837.   -1.20  3.31  1.040    1.000  12.02  11.42   8.47   7.26   6.50  
 0.090  2864.   -1.13  3.31  1.101    1.000  11.80  11.22   8.28   7.09   6.34  
 0.100  2925.   -1.15  3.41  1.033    1.000  11.66  11.06   8.23   7.09   6.38  
 0.110  2945.   -1.07  3.38  1.115    1.000  11.42  10.82   8.02   6.89   6.19  
 0.130  3006.   -0.93  3.34  1.270    1.000  10.88  10.30   7.58   6.49   5.82  
 0.150  3076.   -0.79  3.31  1.412    1.000  10.33   9.72   7.15   6.12   5.51  
 0.170  3139.   -0.67  3.28  1.565    1.000   9.87   9.23   6.78   5.80   5.21  
 0.200  3220.   -0.54  3.26  1.728    1.000   9.38   8.71   6.39   5.45   4.91  
 0.300  3460.   -0.20  3.23  2.203    1.000   7.99   7.21   5.34   4.57   4.15  
 0.400  3670.   -0.05  3.30  2.338    1.000   7.12   6.20   4.77   4.16   3.83  
 0.500  3848.    0.07  3.36  2.444    1.000   6.40   5.36   4.30   3.81   3.53  
 0.600  3987.    0.16  3.41  2.524    1.000   5.95   4.86   3.99   3.57   3.32  
 0.700  4110.    0.26  3.43  2.657    1.000   5.63   4.41   3.69   3.31   3.08  
 0.800  4221.    0.35  3.44  2.805    1.000   5.25   4.05   3.41   3.07   2.85  
 0.900  4315.    0.43  3.45  2.944    1.000   4.93   3.77   3.18   2.86   2.66  
 1.000  4397.    0.50  3.46  3.079    1.000   4.67   3.54   2.98   2.67   2.48  
 1.100  4471.    0.57  3.47  3.209    1.000   4.43   3.34   2.81   2.51   2.33  
 1.200  4537.    0.63  3.47  3.344    1.000   4.22   3.16   2.64   2.36   2.18  
 1.300  4596.    0.68  3.47  3.469    1.000   4.03   3.00   2.50   2.22   2.05  
